Aggregated 3-candle swing-failure stats by Previous Day's Distribution (NY time):
     Prev Day    Hours  Bear Nr.   Hit%   Mid%   1st%   Opn%  | Bull Nr. Hit%_bull Mid%_bull 1st%_bull Opn%_bull
Slightly Down 05,06,07         1 100.00 100.00   0.00   0.00           0      0.00      0.00      0.00      0.00
Slightly Down 16,17,18         0   0.00   0.00   0.00   0.00           1    100.00    100.00    100.00    100.00
         Flat 11,12,13         0   0.00   0.00   0.00   0.00           1     50.00    100.00      0.00      0.00
         Flat 20,21,22         0   0.00   0.00   0.00   0.00           1     50.00    100.00      0.00      0.00
  Slightly Up 01,02,03         1  20.00 100.00 100.00 100.00           0      0.00      0.00      0.00      0.00
  Slightly Up 02,03,04         1  20.00 100.00   0.00   0.00           0      0.00      0.00      0.00      0.00
  Slightly Up 08,09,10         1  20.00   0.00   0.00   0.00           0      0.00      0.00      0.00      0.00
  Slightly Up 10,11,12         1  20.00   0.00   0.00   0.00           0      0.00      0.00      0.00      0.00
  Slightly Up 16,17,18         0   0.00   0.00   0.00   0.00           1     50.00    100.00      0.00      0.00
  Slightly Up 18,19,20         0   0.00   0.00   0.00   0.00           1     50.00      0.00      0.00      0.00
  Slightly Up 20,21,22         1  20.00 100.00   0.00   0.00           0      0.00      0.00      0.00      0.00
  Strongly Up 04,05,06         0   0.00   0.00   0.00   0.00           1     50.00    100.00      0.00      0.00
  Strongly Up 11,12,13         0   0.00   0.00   0.00   0.00           1     50.00    100.00      0.00      0.00
  Strongly Up 13,14,15         2  66.67 100.00  50.00  50.00           0      0.00      0.00      0.00      0.00
  Strongly Up 16,17,18         1  33.33   0.00   0.00   0.00           0      0.00      0.00      0.00      0.00
