Aggregated 3-candle swing-failure stats for 5-minute data by Hour (NY time of C0):
   Hours  Bear Nr. Hit%   Mid%  1st%  Opn% Target%  Stop% Avg R:R  | Bull Nr. Hit%_bull Mid%_bull 1st%_bull Opn%_bull Target%_bull Stop%_bull Avg R:R_bull
00,01,02         3 2.54  66.67  0.00 33.33   66.67  33.33    0.59           7      6.42     85.71     28.57     42.86        28.57      71.43        -0.08
01,02,03         2 1.69  50.00  0.00 50.00   50.00  50.00    0.11           7      6.42     71.43     42.86     57.14        14.29      85.71         0.06
02,03,04         4 3.39  75.00 25.00 25.00   50.00  50.00    0.21           3      2.75    100.00      0.00     33.33        33.33      66.67         0.08
03,04,05         4 3.39 100.00 25.00 75.00   75.00  25.00    0.32           3      2.75     33.33      0.00      0.00         0.00     100.00         0.00
04,05,06         4 3.39 100.00 50.00 50.00   75.00  25.00    0.36           7      6.42     57.14     14.29     14.29        57.14      42.86         0.35
05,06,07         6 5.08  33.33  0.00  0.00    0.00 100.00    0.00           4      3.67     50.00     25.00     25.00        25.00      75.00        -0.04
06,07,08         5 4.24  60.00 20.00 40.00   40.00  60.00    0.13           4      3.67     50.00      0.00      0.00        25.00      75.00         0.28
07,08,09         5 4.24  60.00  0.00  0.00   60.00  40.00    1.65           7      6.42     71.43     14.29     14.29        28.57      71.43         0.08
08,09,10         2 1.69 100.00  0.00  0.00    0.00 100.00    0.00           3      2.75     33.33      0.00      0.00         0.00     100.00         0.00
09,10,11         6 5.08  33.33  0.00  0.00   33.33  66.67    0.30           0      0.00      0.00      0.00      0.00         0.00       0.00         0.00
10,11,12         4 3.39  75.00 25.00 25.00    0.00 100.00    0.00           5      4.59    100.00     20.00     20.00       100.00       0.00         0.45
11,12,13         2 1.69  50.00 50.00 50.00    0.00 100.00    0.00           4      3.67     75.00      0.00     25.00         0.00     100.00         0.00
12,13,14         5 4.24  60.00  0.00  0.00   40.00  60.00    0.28           6      5.50     83.33      0.00      0.00        50.00      50.00         2.70
13,14,15         4 3.39  50.00  0.00 25.00    0.00 100.00    0.00           2      1.83      0.00      0.00      0.00         0.00     100.00         0.00
14,15,16         4 3.39  75.00 50.00 50.00   50.00  50.00    0.41           5      4.59    100.00     20.00     40.00        40.00      60.00         0.03
15,16,17         5 4.24  80.00  0.00 20.00   20.00  80.00    0.14           1      0.92    100.00    100.00    100.00       100.00       0.00        -0.13
16,17,18         9 7.63  77.78 11.11 11.11   55.56  44.44    1.62           6      5.50     33.33      0.00     16.67        33.33      66.67         0.89
18,19,20         8 6.78  62.50 12.50 25.00   37.50  62.50    0.06          10      9.17     80.00     20.00     40.00        70.00      30.00         0.67
19,20,21         6 5.08  83.33 50.00 50.00   33.33  66.67    0.12           8      7.34     75.00      0.00     37.50        62.50      37.50         0.35
20,21,22         7 5.93  85.71  0.00 14.29   28.57  71.43    0.16           4      3.67     50.00      0.00      0.00        25.00      75.00         0.29
21,22,23         8 6.78  62.50  0.00 12.50   25.00  75.00    0.15           7      6.42     85.71     14.29     14.29        42.86      57.14         0.78
22,23,00         6 5.08  66.67  0.00  0.00   66.67  33.33    2.55           4      3.67     50.00     25.00     25.00        50.00      50.00         0.12
23,00,01         9 7.63  88.89 11.11 22.22   66.67  33.33    1.15           2      1.83    100.00      0.00     50.00         0.00     100.00         0.00
