Aggregated 3-candle swing-failure stats for 5-minute data by Hour (NY time of C0):
   Hours  Bear Nr. Hit%   Mid%  1st%  Opn%  | Bull Nr. Hit%_bull Mid%_bull 1st%_bull Opn%_bull
00,01,02         3 2.40  66.67  0.00 33.33           7      6.14     85.71     28.57     42.86
01,02,03         2 1.60  50.00  0.00 50.00           7      6.14     71.43     42.86     57.14
02,03,04         4 3.20  75.00 25.00 25.00           3      2.63    100.00      0.00     33.33
03,04,05         4 3.20 100.00 25.00 75.00           3      2.63     33.33      0.00      0.00
04,05,06         5 4.00 100.00 40.00 40.00           8      7.02     50.00     12.50     12.50
05,06,07         6 4.80  33.33  0.00  0.00           4      3.51     50.00     25.00     25.00
06,07,08         7 5.60  71.43 14.29 42.86           5      4.39     60.00      0.00      0.00
07,08,09         5 4.00  60.00  0.00  0.00           8      7.02     75.00     12.50     12.50
08,09,10         3 2.40 100.00  0.00  0.00           3      2.63     33.33      0.00      0.00
09,10,11         7 5.60  42.86  0.00 14.29           0      0.00      0.00      0.00      0.00
10,11,12         4 3.20  75.00 25.00 25.00           5      4.39    100.00     20.00     20.00
11,12,13         2 1.60  50.00 50.00 50.00           5      4.39     60.00      0.00     20.00
12,13,14         5 4.00  60.00  0.00  0.00           6      5.26     83.33      0.00      0.00
13,14,15         4 3.20  50.00  0.00 25.00           2      1.75      0.00      0.00      0.00
14,15,16         5 4.00  60.00 40.00 40.00           5      4.39    100.00     20.00     40.00
15,16,17         5 4.00  80.00  0.00 20.00           1      0.88    100.00    100.00    100.00
16,17,18        10 8.00  70.00 10.00 10.00           6      5.26     33.33      0.00     16.67
18,19,20         8 6.40  62.50 12.50 25.00          11      9.65     81.82     18.18     36.36
19,20,21         6 4.80  83.33 50.00 50.00           8      7.02     75.00      0.00     37.50
20,21,22         7 5.60  85.71  0.00 14.29           4      3.51     50.00      0.00      0.00
21,22,23         8 6.40  62.50  0.00 12.50           7      6.14     85.71     14.29     14.29
22,23,00         6 4.80  66.67  0.00  0.00           4      3.51     50.00     25.00     25.00
23,00,01         9 7.20  88.89 11.11 22.22           2      1.75    100.00      0.00     50.00
