Aggregated 3-candle swing-failure stats by Previous Day's Distribution (NY time):
Total patterns found: 1730
     Prev Day    Hours  Bear Nr. Hit%_Mid Hit%_1st Hit%_Opn Avg_SL Avg_RE Hit_T% Hit_SL%  | Bull Nr. Hit%_Mid_bull Hit%_1st_bull Hit%_Opn_bull Avg_SL_bull Avg_RE_bull Hit_T%_bull Hit_SL%_bull
Strongly Down 00,01,02         8    75.00     0.00    12.50  20.56  47.31  37.50   75.00           4         50.00         25.00         25.00       30.50       27.38       50.00        75.00
Strongly Down 01,02,03        15    66.67     0.00     0.00  32.90  45.77  53.33   93.33           8         62.50          0.00         12.50       47.28       62.78       87.50        62.50
Strongly Down 02,03,04         7    42.86     0.00     0.00   6.07  54.57  42.86  100.00          12         33.33          0.00          8.33       19.54       87.58       66.67        66.67
Strongly Down 03,04,05         2    50.00     0.00     0.00   4.12 196.25  50.00  100.00           8         75.00         37.50         37.50       21.53       86.44       87.50        50.00
Strongly Down 04,05,06        12    83.33    25.00    33.33  27.85  58.33  66.67   91.67           4         50.00         25.00         50.00       25.19       72.50       50.00        75.00
Strongly Down 05,06,07         9    88.89    44.44    44.44  60.00 174.17  55.56   55.56           5        100.00         80.00         80.00       38.30      112.60      100.00        20.00
Strongly Down 06,07,08         4    75.00     0.00     0.00  24.88 102.12  75.00   75.00           5         60.00         20.00         20.00       22.30       52.25       60.00        80.00
Strongly Down 07,08,09         6    66.67    33.33    50.00  88.33 146.88  83.33   83.33           9         66.67          0.00         11.11       32.06      112.39       66.67        77.78
Strongly Down 08,09,10         6    66.67     0.00     0.00  26.25 187.67  83.33  100.00          10         80.00          0.00         10.00       36.85      116.67       60.00        70.00
Strongly Down 09,10,11         3   100.00     0.00     0.00   7.42 147.75 100.00   66.67           8         75.00          0.00         12.50       29.94       79.72       62.50       100.00
Strongly Down 10,11,12         3    33.33     0.00    33.33  36.17  78.58  66.67  100.00           6         66.67         16.67         16.67       84.50      119.29       66.67       100.00
Strongly Down 11,12,13         2   100.00    50.00   100.00 157.88 180.38 100.00   50.00           5         80.00         20.00         20.00       36.05      144.15       80.00        80.00
Strongly Down 12,13,14         0     0.00     0.00     0.00   0.00   0.00   0.00    0.00           8         87.50         37.50         37.50       83.34      213.38       62.50        62.50
Strongly Down 13,14,15         6    33.33     0.00    16.67  14.38  92.88  16.67   83.33           8         37.50          0.00         12.50       48.81       65.12       12.50        75.00
Strongly Down 14,15,16         5    60.00     0.00    20.00  90.70 230.80  60.00   20.00          12         75.00          0.00          0.00       54.21       96.83       33.33        75.00
Strongly Down 15,16,17         4    75.00    25.00    25.00 126.31 144.44  75.00   25.00          18         61.11          0.00         11.11       27.89       89.39       38.89        88.89
Strongly Down 16,17,18         7    42.86    28.57    28.57  63.04 101.07  57.14   57.14          13         76.92         30.77         38.46      109.77      128.50       69.23        46.15
Strongly Down 17,18,19         4    75.00    50.00    75.00 108.75 142.12  75.00   25.00          11         72.73         18.18         27.27       47.45       31.68       36.36        63.64
Strongly Down 18,19,20         3    66.67    33.33    66.67  88.75  63.33  66.67   33.33           7         57.14         14.29         14.29       61.75       27.29       28.57        28.57
Strongly Down 19,20,21         6    33.33     0.00     0.00  15.88  43.25  16.67   66.67          15         66.67          6.67          6.67       35.02       50.47       26.67        40.00
Strongly Down 20,21,22         8    37.50     0.00    12.50  17.88  31.09  25.00   75.00          16         93.75          0.00          6.25       50.08       42.53       25.00        56.25
Strongly Down 21,22,23         3    66.67     0.00     0.00  20.33  43.75  33.33   33.33           2        100.00          0.00          0.00       33.50       87.50      100.00        50.00
Strongly Down 22,23,00         6    66.67    16.67    16.67  16.46  25.00   0.00  100.00           8         37.50          0.00          0.00       46.50       95.28       12.50        75.00
Strongly Down 23,00,01         5    60.00    20.00    40.00  27.35  57.55  60.00   60.00           8         50.00         12.50         12.50       15.53       39.34       50.00        87.50
Slightly Down 00,01,02         9    66.67    11.11    11.11  16.36  29.78  44.44   77.78           7         57.14         14.29         28.57       21.18       31.61       57.14        71.43
Slightly Down 01,02,03         8    62.50     0.00    12.50  18.34  26.28  25.00   87.50          13         76.92          7.69          7.69       35.58       39.60       61.54        61.54
Slightly Down 02,03,04        12    58.33     8.33    25.00  11.96  47.81  75.00   91.67          15         93.33         26.67         40.00       26.17       69.43       80.00        46.67
Slightly Down 03,04,05        10    80.00    20.00    40.00   9.40  32.17  70.00   90.00          14         78.57         35.71         50.00       29.66       57.38       85.71        64.29
Slightly Down 04,05,06         4   100.00    75.00    75.00  33.00  49.56 100.00  100.00           4        100.00         75.00         75.00       24.31       33.56      100.00        75.00
Slightly Down 05,06,07         9    77.78    22.22    22.22  16.89  62.56  66.67   66.67           9         77.78         11.11         22.22       16.97       59.25       66.67        66.67
Slightly Down 06,07,08         5    40.00    20.00    20.00  17.35  61.75  60.00   80.00           8         75.00         25.00         37.50       15.34       82.56       87.50        75.00
Slightly Down 07,08,09        10    60.00    20.00    20.00  25.98 113.40 100.00   80.00           7         57.14          0.00         14.29       29.71      149.46       85.71        57.14
Slightly Down 08,09,10        11    63.64    18.18    18.18  26.91 122.45  81.82   90.91          10         90.00         20.00         20.00       33.52       70.30       80.00        60.00
Slightly Down 09,10,11        14    64.29    14.29    21.43  27.11 114.41  71.43  100.00          10         50.00         10.00         10.00       20.02      117.22       90.00        80.00
Slightly Down 10,11,12         8    75.00    37.50    50.00  27.00 134.88  87.50   75.00          10         90.00         50.00         50.00       57.90       96.65       80.00        70.00
Slightly Down 11,12,13         1   100.00   100.00   100.00 113.50  92.75 100.00  100.00           8         75.00         12.50         12.50       27.22      134.53      100.00        87.50
Slightly Down 12,13,14         1   100.00     0.00     0.00  48.75   1.50   0.00  100.00           4        100.00         50.00         75.00       92.69       58.12       75.00        25.00
Slightly Down 13,14,15         6    16.67     0.00     0.00  19.79  59.79   0.00   83.33           7         42.86         14.29         14.29       71.36       88.32       42.86        57.14
Slightly Down 14,15,16         4    50.00     0.00     0.00  51.06  28.38   0.00  100.00          12         75.00          0.00          0.00       64.92       43.79        8.33        66.67
Slightly Down 15,16,17         9    88.89     0.00    22.22  56.56  56.31  55.56   66.67          15         60.00          0.00         13.33       68.05       62.62       33.33        53.33
Slightly Down 16,17,18        11    63.64    27.27    27.27  35.57  57.45  36.36   72.73           8         62.50          0.00         12.50       50.31      128.94       50.00        25.00
Slightly Down 17,18,19         6    83.33     0.00    16.67  33.83  53.38  33.33   33.33          12         66.67         25.00         25.00       49.10       62.35       33.33        41.67
Slightly Down 18,19,20         3    66.67     0.00     0.00  21.33  40.50  33.33   66.67           9         66.67          0.00          0.00       69.22       43.83       33.33        33.33
Slightly Down 19,20,21         8    62.50    12.50    12.50  27.44  20.41  25.00   50.00          11         63.64          0.00          9.09       36.32       30.64       27.27        45.45
Slightly Down 20,21,22         7    71.43     0.00    14.29   8.25  17.86  14.29   85.71           9         44.44         11.11         11.11       15.19       23.81       22.22        77.78
Slightly Down 21,22,23         5    80.00     0.00     0.00  41.60  79.55  40.00   60.00           2         50.00          0.00          0.00       19.50       19.12       50.00        50.00
Slightly Down 22,23,00         2    50.00     0.00     0.00   0.00  29.62   0.00  100.00          11         72.73         36.36         36.36       27.43       27.95       54.55        63.64
Slightly Down 23,00,01         8    75.00    37.50    37.50  13.81  50.22  62.50   62.50           7         85.71         14.29         42.86       21.54       21.25       57.14        42.86
         Flat 00,01,02         1   100.00   100.00   100.00  58.25  20.00 100.00  100.00           9         55.56          0.00         11.11       29.50       56.08       55.56        33.33
         Flat 01,02,03         1   100.00     0.00     0.00   1.25  14.00   0.00  100.00           6         83.33          0.00         16.67       14.62       11.62       16.67       100.00
         Flat 02,03,04         4    50.00     0.00     0.00   4.88  13.75  25.00   75.00           2          0.00          0.00          0.00        3.00       15.75       50.00       100.00
         Flat 03,04,05         2   100.00     0.00     0.00  13.75  68.00 100.00  100.00           2        100.00        100.00        100.00       36.62       13.50      100.00        50.00
         Flat 04,05,06         3   100.00     0.00     0.00  17.33  43.33 100.00  100.00           1        100.00          0.00          0.00        3.25       20.00        0.00       100.00
         Flat 05,06,07         2     0.00     0.00     0.00   0.88  72.12  50.00  100.00           3         66.67          0.00         33.33       10.50       84.50       66.67        66.67
         Flat 06,07,08         2   100.00     0.00     0.00   7.00  26.88   0.00  100.00           2         50.00          0.00          0.00       16.88       88.75       50.00       100.00
         Flat 07,08,09         1   100.00     0.00     0.00  34.50  32.75 100.00  100.00           2        100.00          0.00          0.00       46.62       23.50      100.00       100.00
         Flat 08,09,10         3    66.67    33.33    33.33   7.92  60.33  33.33  100.00           5         80.00          0.00         20.00       24.50       73.40       80.00        80.00
         Flat 09,10,11         5    40.00    20.00    20.00  14.35  80.05  60.00   80.00           4         50.00          0.00         50.00       26.19       85.88       75.00        75.00
         Flat 10,11,12         2    50.00    50.00    50.00   3.62 169.50 100.00   50.00           0          0.00          0.00          0.00        0.00        0.00        0.00         0.00
         Flat 11,12,13         3   100.00    33.33    66.67   4.50  90.58 100.00   66.67           1        100.00        100.00        100.00        0.00       68.50      100.00       100.00
         Flat 13,14,15         0     0.00     0.00     0.00   0.00   0.00   0.00    0.00           2         50.00         50.00         50.00      117.62       72.75       50.00        50.00
         Flat 14,15,16         4    50.00     0.00     0.00  34.88  94.81  25.00   75.00           4        100.00          0.00         25.00       88.69       43.31       75.00        25.00
         Flat 15,16,17         4    50.00    25.00    25.00  30.25  38.56  25.00   75.00           8         75.00         12.50         12.50       67.06       87.91       50.00        37.50
         Flat 16,17,18         2   100.00    50.00    50.00  66.38  55.62  50.00   50.00           4         75.00          0.00          0.00       27.62       61.56       25.00        75.00
         Flat 17,18,19         2    50.00     0.00     0.00   3.75  47.12   0.00  100.00           2          0.00          0.00          0.00       29.38       12.00        0.00       100.00
         Flat 18,19,20         2     0.00     0.00     0.00  29.12  31.25   0.00    0.00           5         40.00          0.00          0.00       36.60       33.90       20.00        40.00
         Flat 19,20,21         1     0.00     0.00     0.00  19.00  19.25   0.00    0.00           4         50.00          0.00          0.00       18.94       25.56        0.00        50.00
