date,tmo
2021-05-03,13876.75
2021-05-04,13740.75
2021-05-05,13574.5
2021-05-06,13473.25
2021-05-07,13631.0
2021-05-10,13725.75
2021-05-11,13232.75
2021-05-12,13233.75
2021-05-13,13051.0
2021-05-14,13180.25
2021-05-17,13350.75
2021-05-18,13353.25
2021-05-19,13164.75
2021-05-20,13213.25
2021-05-21,13501.75
2021-05-24,13420.25
2021-05-25,13669.0
2021-05-26,13705.25
2021-05-27,13678.0
2021-05-28,13700.25
2021-05-31,13697.25
2021-06-01,13687.75
2021-06-02,13643.25
2021-06-03,13688.0
2021-06-04,13529.5
2021-06-07,13746.75
2021-06-08,13834.25
2021-06-09,13821.0
2021-06-10,13833.75
2021-06-11,13976.75
2021-06-14,14019.0
2021-06-15,14135.0
2021-06-16,14036.0
2021-06-17,13903.25
2021-06-18,14191.0
2021-06-21,14002.25
2021-06-22,14137.5
2021-06-23,14292.75
2021-06-24,14304.75
2021-06-25,14373.75
2021-06-28,14351.0
2021-06-29,14481.0
2021-06-30,14580.5
2021-07-01,14559.0
2021-07-02,14524.0
2021-07-05,14703.0
2021-07-06,14685.25
2021-07-07,14789.0
2021-07-08,14786.0
2021-07-09,14675.5
2021-07-12,14798.0
2021-07-13,14881.5
2021-07-14,14874.5
2021-07-15,14912.5
2021-07-16,14775.25
2021-07-19,14647.0
2021-07-20,14595.25
2021-07-21,14699.5
2021-07-22,14841.75
2021-07-23,14972.5
2021-07-26,15085.0
2021-07-27,15098.75
2021-07-28,14923.25
2021-07-29,14964.75
2021-07-30,14843.25
2021-08-02,15027.75
2021-08-03,14965.75
2021-08-04,15042.5
2021-08-05,15088.75
2021-08-06,15168.25
2021-08-09,15044.5
2021-08-10,15105.25
2021-08-11,15041.25
2021-08-12,15009.5
2021-08-13,15071.75
2021-08-16,15107.5
2021-08-17,15110.25
2021-08-18,15013.25
2021-08-19,14847.5
2021-08-20,14922.5
2021-08-23,15146.25
2021-08-24,15324.0
2021-08-25,15349.75
2021-08-26,15326.25
2021-08-27,15322.25
2021-08-30,15440.25
2021-08-31,15609.75
2021-09-01,15611.5
2021-09-02,15612.0
2021-09-03,15620.75
2021-09-06,15660.75
2021-09-07,15677.0
2021-09-08,15677.0
2021-09-09,15584.75
2021-09-10,15581.75
2021-09-13,15449.75
2021-09-14,15453.0
2021-09-15,15399.5
2021-09-16,15481.25
2021-09-17,15512.5
2021-09-20,15239.0
2021-09-21,15082.5
2021-09-22,15025.0
2021-09-23,15184.25
2021-09-24,15294.5
2021-09-27,15368.75
2021-09-28,15148.75
2021-09-29,14838.25
2021-09-30,14836.25
2021-10-01,14602.0
2021-10-04,14701.25
2021-10-05,14515.5
2021-10-06,14590.5
2021-10-07,14864.0
2021-10-08,14887.25
2021-10-11,14749.75
2021-10-12,14620.25
2021-10-13,14619.0
2021-10-14,14821.75
2021-10-15,15085.5
2021-10-18,15092.25
2021-10-19,15292.5
2021-10-20,15387.25
2021-10-21,15336.75
2021-10-22,15408.25
2021-10-25,15353.0
2021-10-26,15567.25
2021-10-27,15537.75
2021-10-28,15615.25
2021-10-29,15669.75
2021-11-01,15871.75
2021-11-02,15863.75
2021-11-03,15958.5
2021-11-04,16157.0
