date,weekday,touch,touch_time,touch_timeframe,snap_back,tmo
2021-05-03,Monday,True,2021-05-03 09:00:00-04:00,1H,True,13876.75
2021-05-04,Tuesday,False,,,False,13740.75
2021-05-05,Wednesday,True,2021-05-05 10:00:00-04:00,1H,True,13574.5
2021-05-06,Thursday,True,2021-05-06 09:00:00-04:00,1H,True,13473.25
2021-05-07,Friday,False,,,False,13631.0
2021-05-10,Monday,False,,,False,13725.75
2021-05-11,Tuesday,True,2021-05-11 09:00:00-04:00,1H,True,13232.75
2021-05-12,Wednesday,True,2021-05-12 09:00:00-04:00,1H,False,13233.75
2021-05-13,Thursday,True,2021-05-13 11:00:00-04:00,1H,False,13051.0
2021-05-14,Friday,False,,,False,13180.25
2021-05-17,Monday,True,2021-05-17 09:00:00-04:00,1H,False,13350.75
2021-05-18,Tuesday,True,2021-05-18 09:00:00-04:00,1H,True,13353.25
2021-05-19,Wednesday,True,2021-05-19 12:00:00-04:00,1H,False,13164.75
2021-05-20,Thursday,False,,,False,13213.25
2021-05-21,Friday,True,2021-05-21 09:00:00-04:00,1H,True,13501.75
2021-05-24,Monday,False,,,False,13420.25
2021-05-25,Tuesday,True,2021-05-25 09:00:00-04:00,1H,True,13669.0
2021-05-26,Wednesday,True,2021-05-26 09:00:00-04:00,1H,True,13705.25
2021-05-27,Thursday,True,2021-05-27 09:00:00-04:00,1H,True,13678.0
2021-05-28,Friday,True,2021-05-28 09:00:00-04:00,1H,True,13700.25
2021-05-31,Monday,False,,,False,13697.25
2021-06-01,Tuesday,True,2021-06-01 10:00:00-04:00,1H,False,13687.75
2021-06-02,Wednesday,True,2021-06-02 09:00:00-04:00,1H,False,13643.25
2021-06-03,Thursday,False,,,False,13688.0
2021-06-04,Friday,False,,,False,13529.5
2021-06-07,Monday,True,2021-06-07 09:00:00-04:00,1H,True,13746.75
2021-06-08,Tuesday,True,2021-06-08 09:00:00-04:00,1H,True,13834.25
2021-06-09,Wednesday,True,2021-06-09 10:00:00-04:00,1H,True,13821.0
2021-06-10,Thursday,True,2021-06-10 09:00:00-04:00,1H,False,13833.75
2021-06-11,Friday,True,2021-06-11 09:00:00-04:00,1H,True,13976.75
2021-06-14,Monday,True,2021-06-14 09:00:00-04:00,1H,True,14019.0
2021-06-15,Tuesday,False,,,False,14135.0
2021-06-16,Wednesday,True,2021-06-16 09:00:00-04:00,1H,True,14036.0
2021-06-17,Thursday,True,2021-06-17 09:00:00-04:00,1H,False,13903.25
2021-06-18,Friday,False,,,False,14191.0
2021-06-21,Monday,True,2021-06-21 09:00:00-04:00,1H,False,14002.25
2021-06-22,Tuesday,True,2021-06-22 09:00:00-04:00,1H,True,14137.5
2021-06-23,Wednesday,True,2021-06-23 09:00:00-04:00,1H,True,14292.75
2021-06-24,Thursday,False,,,False,14304.75
2021-06-25,Friday,True,2021-06-25 09:00:00-04:00,1H,True,14373.75
2021-06-28,Monday,False,,,False,14351.0
2021-06-29,Tuesday,True,2021-06-29 09:00:00-04:00,1H,False,14481.0
2021-06-30,Wednesday,True,2021-06-30 09:00:00-04:00,1H,True,14580.5
2021-07-01,Thursday,True,2021-07-01 09:00:00-04:00,1H,False,14559.0
2021-07-02,Friday,False,,,False,14524.0
2021-07-05,Monday,True,2021-07-05 09:00:00-04:00,1H,False,14703.0
2021-07-06,Tuesday,True,2021-07-06 12:00:00-04:00,1H,False,14685.25
2021-07-07,Wednesday,True,2021-07-07 10:00:00-04:00,1H,True,14789.0
2021-07-08,Thursday,False,,,False,14786.0
2021-07-09,Friday,True,2021-07-09 09:00:00-04:00,1H,False,14675.5
2021-07-12,Monday,True,2021-07-12 10:00:00-04:00,1H,False,14798.0
2021-07-13,Tuesday,True,2021-07-13 09:00:00-04:00,1H,False,14881.5
2021-07-14,Wednesday,True,2021-07-14 11:00:00-04:00,1H,False,14874.5
2021-07-15,Thursday,True,2021-07-15 09:00:00-04:00,1H,False,14912.5
2021-07-16,Friday,True,2021-07-16 10:00:00-04:00,1H,True,14775.25
2021-07-19,Monday,False,,,False,14647.0
2021-07-20,Tuesday,True,2021-07-20 09:00:00-04:00,1H,True,14595.25
2021-07-21,Wednesday,True,2021-07-21 09:00:00-04:00,1H,False,14699.5
2021-07-22,Thursday,True,2021-07-22 09:00:00-04:00,1H,False,14841.75
2021-07-23,Friday,True,2021-07-23 09:00:00-04:00,1H,False,14972.5
2021-07-26,Monday,True,2021-07-26 09:00:00-04:00,1H,True,15085.0
2021-07-27,Tuesday,True,2021-07-27 09:00:00-04:00,1H,False,15098.75
2021-07-28,Wednesday,True,2021-07-28 09:00:00-04:00,1H,False,14923.25
2021-07-29,Thursday,False,,,False,14964.75
2021-07-30,Friday,True,2021-07-30 09:00:00-04:00,1H,False,14843.25
2021-08-02,Monday,True,2021-08-02 09:00:00-04:00,1H,True,15027.75
2021-08-03,Tuesday,True,2021-08-03 09:00:00-04:00,1H,True,14965.75
2021-08-04,Wednesday,True,2021-08-04 09:00:00-04:00,1H,True,15042.5
2021-08-05,Thursday,True,2021-08-05 09:00:00-04:00,1H,False,15088.75
2021-08-06,Friday,False,,,False,15168.25
2021-08-09,Monday,False,,,False,15044.5
2021-08-10,Tuesday,True,2021-08-10 10:00:00-04:00,1H,False,15105.25
2021-08-11,Wednesday,True,2021-08-11 09:00:00-04:00,1H,True,15041.25
2021-08-12,Thursday,True,2021-08-12 09:00:00-04:00,1H,True,15009.5
2021-08-13,Friday,True,2021-08-13 09:00:00-04:00,1H,False,15071.75
2021-08-16,Monday,True,2021-08-16 09:00:00-04:00,1H,False,15107.5
2021-08-17,Tuesday,False,,,False,15110.25
2021-08-18,Wednesday,True,2021-08-18 09:00:00-04:00,1H,True,15013.25
2021-08-19,Thursday,True,2021-08-19 10:00:00-04:00,1H,False,14847.5
2021-08-20,Friday,False,,,False,14922.5
2021-08-23,Monday,True,2021-08-23 09:00:00-04:00,1H,False,15146.25
2021-08-24,Tuesday,True,2021-08-24 09:00:00-04:00,1H,True,15324.0
2021-08-25,Wednesday,True,2021-08-25 10:00:00-04:00,1H,True,15349.75
2021-08-26,Thursday,True,2021-08-26 09:00:00-04:00,1H,True,15326.25
2021-08-27,Friday,True,2021-08-27 09:00:00-04:00,1H,True,15322.25
2021-08-30,Monday,True,2021-08-30 09:00:00-04:00,1H,False,15440.25
2021-08-31,Tuesday,True,2021-08-31 09:00:00-04:00,1H,False,15609.75
2021-09-01,Wednesday,True,2021-09-01 09:00:00-04:00,1H,False,15611.5
2021-09-02,Thursday,True,2021-09-02 10:00:00-04:00,1H,True,15612.0
2021-09-03,Friday,True,2021-09-03 09:00:00-04:00,1H,True,15620.75
2021-09-06,Monday,False,,,False,15660.75
2021-09-07,Tuesday,True,2021-09-07 09:00:00-04:00,1H,True,15677.0
2021-09-08,Wednesday,True,2021-09-08 09:00:00-04:00,1H,False,15677.0
2021-09-09,Thursday,False,,,False,15584.75
2021-09-10,Friday,True,2021-09-10 10:00:00-04:00,1H,True,15581.75
2021-09-13,Monday,True,2021-09-13 09:00:00-04:00,1H,True,15449.75
2021-09-14,Tuesday,True,2021-09-14 09:00:00-04:00,1H,True,15453.0
2021-09-15,Wednesday,True,2021-09-15 09:00:00-04:00,1H,False,15399.5
2021-09-16,Thursday,True,2021-09-16 09:00:00-04:00,1H,False,15481.25
2021-09-17,Friday,True,2021-09-17 09:00:00-04:00,1H,False,15512.5
2021-09-20,Monday,False,,,False,15239.0
2021-09-21,Tuesday,True,2021-09-21 09:00:00-04:00,1H,True,15082.5
