date,touch_time,weekday,tmo,direction
2021-05-03,2021-05-03 09:00:00-04:00,Monday,13876.75,down
2021-05-05,2021-05-05 10:00:00-04:00,Wednesday,13574.5,down
2021-05-06,2021-05-06 09:00:00-04:00,Thursday,13473.25,up
2021-05-11,2021-05-11 09:00:00-04:00,Tuesday,13232.75,up
2021-05-18,2021-05-18 09:00:00-04:00,Tuesday,13353.25,up
2021-05-21,2021-05-21 09:00:00-04:00,Friday,13501.75,down
2021-05-25,2021-05-25 09:00:00-04:00,Tuesday,13669.0,up
2021-05-26,2021-05-26 09:00:00-04:00,Wednesday,13705.25,up
2021-05-27,2021-05-27 09:00:00-04:00,Thursday,13678.0,up
2021-05-28,2021-05-28 09:00:00-04:00,Friday,13700.25,down
2021-06-07,2021-06-07 09:00:00-04:00,Monday,13746.75,up
2021-06-08,2021-06-08 09:00:00-04:00,Tuesday,13834.25,up
2021-06-09,2021-06-09 10:00:00-04:00,Wednesday,13821.0,down
2021-06-11,2021-06-11 09:00:00-04:00,Friday,13976.75,up
2021-06-14,2021-06-14 09:00:00-04:00,Monday,14019.0,up
2021-06-16,2021-06-16 09:00:00-04:00,Wednesday,14036.0,down
2021-06-22,2021-06-22 09:00:00-04:00,Tuesday,14137.5,up
2021-06-23,2021-06-23 09:00:00-04:00,Wednesday,14292.75,up
2021-06-25,2021-06-25 09:00:00-04:00,Friday,14373.75,up
2021-06-30,2021-06-30 09:00:00-04:00,Wednesday,14580.5,up
2021-07-07,2021-07-07 10:00:00-04:00,Wednesday,14789.0,up
2021-07-16,2021-07-16 10:00:00-04:00,Friday,14775.25,up
2021-07-20,2021-07-20 09:00:00-04:00,Tuesday,14595.25,up
2021-07-26,2021-07-26 09:00:00-04:00,Monday,15085.0,down
2021-08-02,2021-08-02 09:00:00-04:00,Monday,15027.75,up
2021-08-03,2021-08-03 09:00:00-04:00,Tuesday,14965.75,up
2021-08-04,2021-08-04 09:00:00-04:00,Wednesday,15042.5,up
2021-08-11,2021-08-11 09:00:00-04:00,Wednesday,15041.25,down
2021-08-12,2021-08-12 09:00:00-04:00,Thursday,15009.5,up
2021-08-18,2021-08-18 09:00:00-04:00,Wednesday,15013.25,down
2021-08-24,2021-08-24 09:00:00-04:00,Tuesday,15324.0,down
2021-08-25,2021-08-25 10:00:00-04:00,Wednesday,15349.75,down
2021-08-26,2021-08-26 09:00:00-04:00,Thursday,15326.25,up
2021-08-27,2021-08-27 09:00:00-04:00,Friday,15322.25,up
2021-09-02,2021-09-02 10:00:00-04:00,Thursday,15612.0,down
2021-09-03,2021-09-03 09:00:00-04:00,Friday,15620.75,up
2021-09-07,2021-09-07 09:00:00-04:00,Tuesday,15677.0,up
2021-09-10,2021-09-10 10:00:00-04:00,Friday,15581.75,up
2021-09-13,2021-09-13 09:00:00-04:00,Monday,15449.75,up
2021-09-14,2021-09-14 09:00:00-04:00,Tuesday,15453.0,up
2021-09-21,2021-09-21 09:00:00-04:00,Tuesday,15082.5,up
2021-09-29,2021-09-29 09:00:00-04:00,Wednesday,14838.25,up
2021-09-30,2021-09-30 09:00:00-04:00,Thursday,14836.25,up
2021-10-01,2021-10-01 09:00:00-04:00,Friday,14602.0,up
2021-10-06,2021-10-06 09:00:00-04:00,Wednesday,14590.5,up
2021-10-08,2021-10-08 09:00:00-04:00,Friday,14887.25,down
2021-10-15,2021-10-15 09:00:00-04:00,Friday,15085.5,up
2021-10-20,2021-10-20 09:00:00-04:00,Wednesday,15387.25,down
2021-10-22,2021-10-22 09:00:00-04:00,Friday,15408.25,up
2021-11-03,2021-11-03 09:00:00-04:00,Wednesday,15958.5,up
2021-11-10,2021-11-10 09:00:00-05:00,Wednesday,16158.0,down
2021-11-12,2021-11-12 09:00:00-05:00,Friday,16055.0,up
2021-11-15,2021-11-15 09:00:00-05:00,Monday,16214.5,down
2021-11-17,2021-11-17 09:00:00-05:00,Wednesday,16293.75,up
2021-11-18,2021-11-18 09:00:00-05:00,Thursday,16347.0,up
2021-11-19,2021-11-19 09:00:00-05:00,Friday,16571.0,up
2021-11-23,2021-11-23 09:00:00-05:00,Tuesday,16359.5,down
2021-11-24,2021-11-24 10:00:00-05:00,Wednesday,16276.75,up
2021-11-25,2021-11-25 09:00:00-05:00,Thursday,16393.25,down
2021-11-30,2021-11-30 09:00:00-05:00,Tuesday,16403.0,down
2021-12-01,2021-12-01 09:00:00-05:00,Wednesday,16371.25,up
2021-12-02,2021-12-02 09:00:00-05:00,Thursday,15946.75,up
2021-12-06,2021-12-06 09:00:00-05:00,Monday,15736.25,up
2021-12-10,2021-12-10 10:00:00-05:00,Friday,16161.25,up
2021-12-17,2021-12-17 09:00:00-05:00,Friday,15833.25,up
2021-12-20,2021-12-20 09:00:00-05:00,Monday,15629.75,down
2021-12-21,2021-12-21 09:00:00-05:00,Tuesday,15766.5,up
2021-12-28,2021-12-28 09:00:00-05:00,Tuesday,16551.0,up
2021-12-31,2021-12-31 09:00:00-05:00,Friday,16408.5,up
2022-01-03,2022-01-03 09:00:00-05:00,Monday,16410.5,up
2022-01-05,2022-01-05 09:00:00-05:00,Wednesday,16204.75,down
2022-01-11,2022-01-11 09:00:00-05:00,Tuesday,15598.0,up
2022-01-12,2022-01-12 10:00:00-05:00,Wednesday,15833.25,up
2022-01-14,2022-01-14 09:00:00-05:00,Friday,15493.0,up
2022-01-21,2022-01-21 09:00:00-05:00,Friday,14643.25,up
2022-01-25,2022-01-25 09:00:00-05:00,Tuesday,14230.0,down
2022-01-28,2022-01-28 09:00:00-05:00,Friday,14096.25,up
2022-02-01,2022-02-01 09:00:00-05:00,Tuesday,14869.75,up
2022-02-02,2022-02-02 09:00:00-05:00,Wednesday,15144.75,down
2022-02-03,2022-02-03 09:00:00-05:00,Thursday,14785.75,up
2022-02-07,2022-02-07 09:00:00-05:00,Monday,14698.5,up
2022-02-08,2022-02-08 09:00:00-05:00,Tuesday,14576.75,up
2022-02-11,2022-02-11 10:00:00-05:00,Friday,14586.0,up
2022-02-14,2022-02-14 09:00:00-05:00,Monday,14275.0,up
2022-02-25,2022-02-25 09:00:00-05:00,Friday,13871.0,up
2022-03-01,2022-03-01 09:00:00-05:00,Tuesday,14222.0,down
2022-03-02,2022-03-02 09:00:00-05:00,Wednesday,14068.0,up
2022-03-03,2022-03-03 10:00:00-05:00,Thursday,14219.75,up
