date,breakout_time,snap_back_time,tmo,pattern,pattern_type,risk,potential_reward
2021-05-03,2021-05-03 10:00:00-04:00,2021-05-03 10:00:00-04:00,13876.75,pin_bar,bearish,39.25,39.25
2021-05-05,2021-05-05 10:00:00-04:00,2021-05-05 10:00:00-04:00,13574.5,pin_bar,bullish,45.25,45.25
2021-05-05,2021-05-05 11:00:00-04:00,2021-05-05 12:00:00-04:00,13574.5,engulfing,bearish,57.0,55.5
2021-05-05,2021-05-05 12:00:00-04:00,2021-05-05 12:00:00-04:00,13574.5,engulfing,bearish,57.0,57.0
2021-05-19,2021-05-19 12:00:00-04:00,2021-05-19 12:00:00-04:00,13164.75,engulfing,bullish,49.75,49.75
2021-05-26,2021-05-26 10:00:00-04:00,2021-05-26 10:00:00-04:00,13705.25,engulfing,bullish,49.25,49.25
2021-05-26,2021-05-26 11:00:00-04:00,2021-05-26 11:00:00-04:00,13705.25,pin_bar,bullish,25.75,25.75
2021-06-23,2021-06-23 10:00:00-04:00,2021-06-23 10:00:00-04:00,14292.75,engulfing,bullish,27.75,27.75
2021-07-14,2021-07-14 10:00:00-04:00,2021-07-14 11:00:00-04:00,14874.5,engulfing,bearish,113.25,121.5
2021-09-07,2021-09-07 11:00:00-04:00,2021-09-07 12:00:00-04:00,15677.0,engulfing,bullish,10.25,44.5
2021-09-07,2021-09-07 12:00:00-04:00,2021-09-07 12:00:00-04:00,15677.0,engulfing,bullish,10.25,10.25
2021-09-15,2021-09-15 11:00:00-04:00,2021-09-15 12:00:00-04:00,15399.5,engulfing,bullish,47.0,66.25
2021-09-15,2021-09-15 12:00:00-04:00,2021-09-15 12:00:00-04:00,15399.5,engulfing,bullish,47.0,47.0
2021-09-21,2021-09-21 10:00:00-04:00,2021-09-21 11:00:00-04:00,15082.5,engulfing,bullish,104.0,108.0
2021-10-01,2021-10-01 11:00:00-04:00,2021-10-01 11:00:00-04:00,14602.0,engulfing,bullish,18.25,18.25
2021-10-06,2021-10-06 11:00:00-04:00,2021-10-06 11:00:00-04:00,14590.5,pin_bar,bullish,82.5,82.5
2021-10-15,2021-10-15 10:00:00-04:00,2021-10-15 10:00:00-04:00,15085.5,engulfing,bullish,39.5,39.5
2021-10-20,2021-10-20 12:00:00-04:00,2021-10-20 12:00:00-04:00,15387.25,engulfing,bearish,33.75,33.75
2021-11-10,2021-11-10 10:00:00-05:00,2021-11-10 10:00:00-05:00,16158.0,pin_bar,bearish,63.0,63.0
2021-11-18,2021-11-18 11:00:00-05:00,2021-11-18 11:00:00-05:00,16347.0,engulfing,bullish,13.75,13.75
2021-11-19,2021-11-19 11:00:00-05:00,2021-11-19 11:00:00-05:00,16571.0,engulfing,bearish,55.25,55.25
2021-11-24,2021-11-24 11:00:00-05:00,2021-11-24 11:00:00-05:00,16276.75,engulfing,bullish,67.75,67.75
2021-11-24,2021-11-24 12:00:00-05:00,2021-11-24 12:00:00-05:00,16276.75,pin_bar,bullish,48.25,48.25
2021-12-01,2021-12-01 10:00:00-05:00,2021-12-01 10:00:00-05:00,16371.25,engulfing,bullish,95.5,95.5
2021-12-02,2021-12-02 10:00:00-05:00,2021-12-02 10:00:00-05:00,15946.75,engulfing,bullish,184.0,184.0
2021-12-06,2021-12-06 10:00:00-05:00,2021-12-06 10:00:00-05:00,15736.25,engulfing,bullish,135.75,135.75
2021-12-06,2021-12-06 11:00:00-05:00,2021-12-06 11:00:00-05:00,15736.25,engulfing,bullish,79.75,79.75
2021-12-10,2021-12-10 11:00:00-05:00,2021-12-10 11:00:00-05:00,16161.25,engulfing,bullish,27.5,27.5
2021-12-28,2021-12-28 11:00:00-05:00,2021-12-28 11:00:00-05:00,16551.0,pin_bar,bullish,55.5,55.5
2022-01-03,2022-01-03 11:00:00-05:00,2022-01-03 11:00:00-05:00,16410.5,engulfing,bullish,36.75,36.75
2022-01-14,2022-01-14 10:00:00-05:00,2022-01-14 10:00:00-05:00,15493.0,engulfing,bullish,36.25,36.25
2022-02-01,2022-02-01 11:00:00-05:00,2022-02-01 11:00:00-05:00,14869.75,engulfing,bullish,27.75,27.75
2022-02-08,2022-02-08 10:00:00-05:00,2022-02-08 10:00:00-05:00,14576.75,engulfing,bullish,109.25,109.25
2022-02-10,2022-02-10 10:00:00-05:00,2022-02-10 10:00:00-05:00,14995.0,engulfing,bullish,100.25,100.25
2022-03-02,2022-03-02 10:00:00-05:00,2022-03-02 10:00:00-05:00,14068.0,engulfing,bullish,117.0,117.0
2022-03-07,2022-03-07 11:00:00-05:00,2022-03-07 11:00:00-05:00,13616.75,pin_bar,bearish,66.75,66.75
2022-03-08,2022-03-08 10:00:00-05:00,2022-03-08 10:00:00-05:00,13275.0,pin_bar,bullish,151.0,151.0
2022-03-17,2022-03-17 10:00:00-04:00,2022-03-17 10:00:00-04:00,13939.0,engulfing,bullish,91.0,91.0
2022-04-25,2022-04-25 10:00:00-04:00,2022-04-25 10:00:00-04:00,13305.5,engulfing,bullish,60.25,60.25
2022-05-03,2022-05-03 12:00:00-04:00,2022-05-03 12:00:00-04:00,13125.75,engulfing,bullish,99.75,99.75
2022-05-04,2022-05-04 12:00:00-04:00,2022-05-04 12:00:00-04:00,13099.75,engulfing,bullish,151.25,151.25
2022-05-12,2022-05-12 10:00:00-04:00,2022-05-12 10:00:00-04:00,12017.5,engulfing,bullish,274.75,274.75
2022-05-16,2022-05-16 10:00:00-04:00,2022-05-16 10:00:00-04:00,12289.25,pin_bar,bearish,85.75,85.75
2022-05-19,2022-05-19 10:00:00-04:00,2022-05-19 10:00:00-04:00,11938.5,engulfing,bullish,69.5,69.5
2022-05-19,2022-05-19 11:00:00-04:00,2022-05-19 11:00:00-04:00,11938.5,engulfing,bullish,35.75,35.75
2022-05-25,2022-05-25 10:00:00-04:00,2022-05-25 10:00:00-04:00,11886.25,engulfing,bullish,129.25,129.25
2022-06-06,2022-06-06 10:00:00-04:00,2022-06-06 11:00:00-04:00,12632.0,engulfing,bearish,161.5,178.0
2022-06-08,2022-06-08 11:00:00-04:00,2022-06-08 12:00:00-04:00,12657.5,engulfing,bearish,91.0,116.5
2022-07-22,2022-07-22 10:00:00-04:00,2022-07-22 10:00:00-04:00,12548.5,engulfing,bearish,63.75,63.75
2022-07-29,2022-07-29 10:00:00-04:00,2022-07-29 10:00:00-04:00,12889.75,engulfing,bullish,49.0,49.0
