time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close)
1619784000,13869,13871.25,13819.75,13855,NaN,13871.25,13819.75,13855
1619787600,13855.25,13908.5,13835.75,13906.75,13855,13908.5,13835.75,13906.75
1619791200,13907.25,13956.75,13874.75,13898.75,13906.75,13956.75,13874.75,13898.75
1619794800,13899,13917.25,13860.25,13906,13898.75,13917.25,13860.25,13906
1619798400,13905.5,13919.5,13871.25,13890,13906,13919.5,13871.25,13890
1619802000,13890,13901.25,13825,13838.25,13890,13901.25,13825,13838.25
1619805600,13838.5,13874.25,13832.5,13856.5,13838.25,13874.25,13832.5,13856.5
1619809200,13856.5,13877,13827,13861,13856.5,13877,13827,13861
1619812800,13861.25,13882,13860.75,13865.25,13861,13882,13860.75,13865.25
1619992800,13880.25,13888.75,13870,13882.25,13865.25,13888.75,13870,13882.25
1619996400,13881.75,13885.75,13877.25,13879.75,13882.25,13885.75,13877.25,13879.75
1620000000,13880.25,13899.25,13877.25,13897.25,13879.75,13899.25,13877.25,13897.25
1620003600,13896.75,13903.5,13875,13878.75,13897.25,13903.5,13875,13878.75
1620007200,13878.5,13881.5,13868,13873.5,13878.75,13881.5,13868,13873.5
1620010800,13874.25,13878,13871.25,13876.75,13873.5,13878,13871.25,13876.75
1620014400,13876.75,13877,13866,13869.5,13876.75,13877,13866,13869.5
1620018000,13869.5,13870.5,13856,13860.25,13869.5,13870.5,13856,13860.25
1620021600,13860.75,13880.25,13856,13877.5,13860.25,13880.25,13856,13877.5
1620025200,13877.5,13914.5,13877,13896,13877.5,13914.5,13877,13896
1620028800,13896.5,13901,13875,13876,13896,13901,13875,13876
1620032400,13876,13879.5,13844.5,13860.75,13876,13879.5,13844.5,13860.75
1620036000,13860.75,13893,13858.75,13876,13860.75,13893,13858.75,13876
1620039600,13876.75,13900,13876.5,13889.75,13876,13900,13876.5,13889.75
1620043200,13889,13913.5,13885,13899.75,13889.75,13913.5,13885,13899.75
1620046800,13899.5,13916.25,13851,13874.75,13899.75,13916.25,13851,13874.75
1620050400,13874,13947.5,13837.5,13847,13874.75,13947.5,13837.5,13847
1620054000,13847.75,13847.75,13775.75,13813.5,13847,13847.75,13775.75,13813.5
1620057600,13813.5,13821.5,13772,13791,13813.5,13821.5,13772,13791
1620061200,13791.25,13810,13773.5,13795,13791,13810,13773.5,13795
1620064800,13794.75,13820.5,13794.25,13813,13795,13820.5,13794.25,13813
1620068400,13812.75,13819.25,13774,13790.5,13813,13819.25,13774,13790.5
1620072000,13790.5,13796.75,13779,13785,13790.5,13796.75,13779,13785
1620079200,13785,13792.5,13778.25,13785.5,13785,13792.5,13778.25,13785.5
1620082800,13785,13786.75,13762,13769.5,13785.5,13786.75,13762,13769.5
1620086400,13769.25,13777.5,13750,13754.25,13769.5,13777.5,13750,13754.25
1620090000,13754.5,13754.5,13723,13733.25,13754.25,13754.5,13723,13733.25
1620093600,13732.75,13744,13729.25,13743.5,13733.25,13744,13729.25,13743.5
1620097200,13743.25,13745.25,13731.75,13741,13743.5,13745.25,13731.75,13741
1620100800,13740.75,13743,13736.25,13742.5,13741,13743,13736.25,13742.5
1620104400,13742.25,13764,13739.5,13759.5,13742.5,13764,13739.5,13759.5
1620108000,13759.25,13771,13756.25,13765.75,13759.5,13771,13756.25,13765.75
1620111600,13766,13777.5,13726,13743,13765.75,13777.5,13726,13743
1620115200,13743,13766.25,13725.5,13737.5,13743,13766.25,13725.5,13737.5
1620118800,13736,13757.25,13730,13753.25,13737.5,13757.25,13730,13753.25
1620122400,13753.25,13763,13732.25,13744,13753.25,13763,13732.25,13744
